,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,calendar_last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included
0,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,70,1.0,135,0,1
1,Bed and breakfast,Private room,Real Bed,1,1125,moderate,2019-02-18 05:00:00,2019-02-18 05:00:00,3,1.0,2.0,29,1.0,121,0,1
2,Apartment,Entire home/apt,Real Bed,4,20,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,3,1.0,2.0,3,1.0,699,0,1
3,Guesthouse,Private room,Futon,1,500,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,1,1.0,1.0,81,1.0,181,100,1
4,Apartment,Entire home/apt,Real Bed,10,21,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,0.0,1.0,64,1.0,181,0,1
5,Hostel,Private room,Real Bed,1,1125,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,1.0,1.0,0,1.0,40,25,2
6,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,1,1.0,145,0,1
7,Apartment,Private room,Real Bed,1,10,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,239,1.0,45,10,1
8,Apartment,Private room,Real Bed,14,1125,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,1,1.0,1.0,1,1.5,40,0,1
9,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,3.0,70,2.0,119,40,3
10,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,2,0.0,1.0,0,1.0,43,12,1
11,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,5,3.0,3.0,0,1.5,933,0,1
